Rank,Name,Score,UserList
40,成渝赛区,hw97866806,'0.2789,hw97866806;
41,京津东赛区,hw34590657,'0.2809,hw34590657;
42,粤港澳赛区,好烦啊,'0.2822,hw88181692;
43,粤港澳赛区,奥特曼大战小怪兽,'0.2837,hw83101316;
44,西北赛区,hw95973867,'0.2925,hw95973867;
45,江山赛区,P40,'0.2939,yzcyh94tc;
46,江山赛区,P40 pro +,'0.2992,xingmou;
47,粤港澳赛区,空白永不败北,'0.2992,cxq233;
48,西北赛区,GGGGGGd,'0.2999,GGGGGGd;
49,粤港澳赛区,yesILoveJoyce,'0.3044,yesILoveJoyce;
50,江山赛区,P40 pro,'0.3053,sssChenHD;
51,杭厦赛区,#507,'0.3057,xavier_cai;darkflamehxy;SleepZzz;
52,西北赛区,hw05073505,'0.3064,hw05073505;
53,江山赛区,ykdddhhh,'0.3092,ykdddhhh;
54,江山赛区,得得得得得得得得得得得得,'0.315,hw79751889;yunqihuang;yulin-liu;
55,上合赛区,只有魔法才能打败魔法,'0.3152,logicsama;hw65668397;
56,江山赛区,2147483647,'0.3162,hw74910943;ni_gay_lu_da_yo;karstagger;
57,西北赛区,XD_F3,'0.3179,hw80967104;
58,武长赛区,小号呀,'0.3238,hw06564395;
59,武长赛区,jackspring,'0.3243,jackspring;
60,武长赛区,你们好多小号,'0.3257,hw24447531;
61,成渝赛区,xujingle1995,'0.3278,xujingle1995;
62,武长赛区,442,'0.3295,hw63594550;
63,粤港澳赛区,hw44770994,'0.3303,hw44770994;
64,上合赛区,manatsu,'0.3306,manatsu;
65,杭厦赛区,JustAnotherTest,'0.3319,MrDavidWang;
66,海外赛区,xujingle1995,'0.3342,xujingle1995;
67,西北赛区,hw50854509,'0.3352,hw50854509;
68,武长赛区,本小号怎么处理,'0.3361,hw65179150;
69,武长赛区,wdyggg,'0.3372,hw11796938;
70,武长赛区,总是要取名就很难受,'0.3377,Mr_sixven;
71,江山赛区,正在加载...,'0.3379,chinesename;
72,上合赛区,yl2222,'0.3383,yl2222;
73,上合赛区,hw61384662,'0.3387,hw61384662;
74,武长赛区,xujingle1995,'0.3397,xujingle1995;
75,西北赛区,hw14441904,'0.3398,hw14441904;
76,西北赛区,xujingle1995,'0.3402,xujingle1995;
77,杭厦赛区,xujingle1995,'0.3411,xujingle1995;
78,上合赛区,七个小矮人,'0.3413,hw44770994;
79,成渝赛区,hw88134288,'0.3415,hw88134288;
80,西北赛区,9999小号,'0.3419,hw24447531;
81,上合赛区,332,'0.3452,hw88811113;
82,成渝赛区,hw82321295,'0.3459,hw82321295;
83,江山赛区,蓬松头发,'0.346,hw19353640;
84,江山赛区,2144858364972,'0.3466,hw24447531;
85,武长赛区,c'c'c,'0.3477,caoshang311;
86,上合赛区,烧烤摊T1,'0.3481,ronnywang;
87,粤港澳赛区,caoshang311,'0.3486,caoshang311;
88,武长赛区,垃圾小号,'0.3489,hw44770994;
89,成渝赛区,hw44770994,'0.3503,hw44770994;
90,海外赛区,RNG03,'0.3503,hw42336807;
91,杭厦赛区,哑巴湖大水怪,'0.3506,hw44770994;
92,武长赛区,且随疾风前行,'0.3512,creator7;
93,上合赛区,守望,'0.3528,IooooooI;
94,江山赛区,淡黄长裙,'0.3534,hw22465358;
95,江山赛区,hw66666666,'0.3542,GaoQi666;
96,上合赛区,xujingle1995,'0.3552,xujingle1995;
97,成渝赛区,zhh还是没有女朋友,'0.3556,zhhnogirlfriend;
98,江山赛区,xujingle1995,'0.3558,xujingle1995;
99,武长赛区,hw48023222,'0.3611,hw48023222;
100,粤港澳赛区,你们别这样啊，我也来..,'0.3636,hw24447531;
101,成渝赛区,Tinysand2,'0.3644,Tinysand2;
102,武长赛区,Janchylz,'0.3644,Janchylz;
103,江山赛区,三三得九,'0.3646,Pyke95;hy1013;hw78040398;
104,上合赛区,hw24418358,'0.366,hw24418358;
105,杭厦赛区,IDEA,'0.367,wpf990213;wzc3162;w24khandsome;
106,成渝赛区,少年，你明白了吗？,'0.3697,stepbystep88;
107,杭厦赛区,金陵雪暖,'0.3707,babychen;
108,武长赛区,AngShen*,'0.371,jimocaishuafen;
109,成渝赛区,hw85598951,'0.3719,hw85598951;
110,成渝赛区,我是小号,'0.3725,stepbystep_7416_final;
111,武长赛区,小号,'0.373,hw61107423;
112,西北赛区,Everything is possible,'0.374,virtual_reality;
113,上合赛区,静望,'0.3754,RubyHong;
114,成渝赛区,能不能等我写完论文,'0.3755,VivaLaVida13;
115,杭厦赛区,也不是不行,'0.3757,JiayuZhou;hw69872182;
116,武长赛区,我可能是第一名的小号,'0.3775,hw21235049;
117,杭厦赛区,aaa,'0.385,hw24447531;
118,京津东赛区,hw24447531,'0.3852,hw24447531;
119,武长赛区,hw52602753,'0.3856,hw52602753;
120,武长赛区,星辰,'0.3867,hw72363896;
121,成渝赛区,zararo,'0.3868,zararo;
122,西北赛区,hw85501353,'0.3884,hw85501353;
123,上合赛区,asdoaisiu_xiaoh,'0.3943,hw24447531;
124,杭厦赛区,灭亡迅雷.net,'0.3943,hw48447784;
125,成渝赛区,hw09026011,'0.3947,hw09026011;
126,西北赛区,tools080,'0.3952,tools080;
127,武长赛区,WaminLee,'0.396,WaminLee;
128,西北赛区,tools080小号,'0.397,hw33516027;
129,杭厦赛区,中华总会,'0.3974,hw29747620;
130,西北赛区,别打了，头都歪了,'0.3983,mosfet69;
131,杭厦赛区,CZ-5,'0.4012,nbgao;hw30324143;iceice1996;
132,西北赛区,头歪了，也要打,'0.4023,hw74964514;
133,杭厦赛区,Amazons,'0.4029,mugaoyuan;
134,成渝赛区,不出门少聚餐,'0.4029,hwYWYW;
135,上合赛区,hzatt0429,'0.4038,hzatt0429;
136,杭厦赛区,不知道叫啥,'0.4039,YoungDk;
137,粤港澳赛区,hw39250149,'0.4039,hw39250149;
138,成渝赛区,戴口罩勤洗手,'0.4041,hwAirPlane;
139,成渝赛区,hw41855014_xinyu,'0.4042,hw41855014_xinyu;
140,京津东赛区,ha,'0.4043,jiangzite;ace-pegasus;Herbert_Duan;
141,江山赛区,hw42260600,'0.4058,hw42260600;
142,武长赛区,90度茶,'0.4065,huangyj2020;
143,成渝赛区,IamWQM,'0.4092,IamWQM;
144,杭厦赛区,求小姐姐带我,'0.4129,hw_sdlzx;
145,杭厦赛区,hw40598751,'0.4175,hw40598751;
146,江山赛区,其他赛区小号,'0.4205,hw44770994;
147,江山赛区,代码你学会自动优化啊,'0.4223,IZhaoXianfengI;
148,武长赛区,管理员记得把我删掉,'0.4239,hw59633375;
149,京津东赛区,提交试一下,'0.4245,kangkang365;
150,成渝赛区,全世界最好的你,'0.4246,uestc-gzp;hw80262519;hw18249531;
151,杭厦赛区,HangDianWaterest,'0.4252,hw03758433;
152,成渝赛区,lxl,'0.4259,hw24447531;
153,杭厦赛区,hw68063770,'0.4268,hw68063770;
154,京津东赛区,小问号,'0.4293,hw-hellokunpeng;
155,成渝赛区,我是小号1,'0.4297,test_8803_11;
156,杭厦赛区,西红柿炒蛋不加糖,'0.4323,hw33997047;hw74755412;hw20650480;
157,杭厦赛区,clickMe,'0.4325,clickMe;
158,西北赛区,hw61286547,'0.435,hw61286547;
159,杭厦赛区,hw95221991,'0.4361,hw95221991;
160,成渝赛区,run,'0.4364,luoxinglin;
161,成渝赛区,不出门勤消毒,'0.4365,Sw_9661;
162,成渝赛区,hw45116091,'0.4369,hw45116091;
163,西北赛区,hw39250149,'0.4372,hw39250149;
164,成渝赛区,max gogogo,'0.438,hw01875527;
165,上合赛区,观望,'0.4384,xiaolegao;
166,江山赛区,testing,'0.4384,chenglizb;
167,上合赛区,爱的战士虚渊玄,'0.4405,hw11212679;
168,杭厦赛区,hw73608801,'0.4413,hw73608801;
169,上合赛区,小金鱼,'0.4416,hw26167070;
170,杭厦赛区,hw13618201,'0.4417,hw13618201;
171,上合赛区,小火车,'0.4418,hw83632418;
172,武长赛区,jimocaixuexi,'0.4419,jimocaixuexi;
173,成渝赛区,liangchen,'0.4422,liangchen;
174,江山赛区,pig1060739683,'0.4432,pig1060739683;
175,西北赛区,好运,'0.4443,ikun1997;
176,江山赛区,蛹蛹啊,'0.4464,hw45181631;
177,上合赛区,kde_wy,'0.4469,kde_wy;
178,成渝赛区,青年，你明白了吗？,'0.4475,Yang_Goodman;
179,武长赛区,fang,'0.4481,hw18390437;
180,上合赛区,垂死病中惊坐起，笑问客从何处来,'0.4492,hw65404743;
181,粤港澳赛区,666233,'0.4498,hw84598881;
182,京津东赛区,小问号的朋友,'0.4512,nCoCn;
183,江山赛区,憨憨敬礼,'0.453,hw23514915;
184,江山赛区,qutianyuai,'0.453,qutianyuai;
185,上合赛区,小摩托,'0.4556,hw10994536;
186,西北赛区,一方通行,'0.4558,StarFading;zhang_sai_zs;beidongxing;
187,江山赛区,我我我我我回来了,'0.4563,cfireworks;
188,江山赛区,hw51403114,'0.4574,hw51403114;
189,武长赛区,hw95609700,'0.4583,hw95609700;
190,上合赛区,hw51403114,'0.4606,hw51403114;
191,武长赛区,hw51403114,'0.4612,hw51403114;
192,杭厦赛区,Kaizyn,'0.463,Kaizyn;
193,杭厦赛区,Oliver0047,'0.4634,Oliver0047;
194,粤港澳赛区,hw95609700,'0.464,hw95609700;
195,杭厦赛区,pobin,'0.4669,pobin6;
196,粤港澳赛区,hw32563906,'0.4672,hw32563906;
197,杭厦赛区,hw56426573,'0.4677,hw56426573;
198,江山赛区,大哥酱油,'0.4677,hw38118295;
199,成渝赛区,hw25669371,'0.4677,hw25669371;
200,杭厦赛区,niuaer,'0.4681,niuaer;
201,上合赛区,随便写个名字,'0.4687,hw02918186;
202,杭厦赛区,VarZzzz,'0.4688,VarZzzz;
203,江山赛区,Eason6688,'0.4697,Eason6688;
204,杭厦赛区,hw68701376,'0.4698,hw68701376;
205,杭厦赛区,oepfksd,'0.4705,oepfksd;
206,上合赛区,xkyeys,'0.4716,xkyeys;
207,江山赛区,BestKrystal,'0.4716,BestKrystal;
208,上合赛区,Renatus,'0.4719,Renatus;
209,成渝赛区,hw90785588,'0.4724,hw90785588;
210,上合赛区,MDS110,'0.4762,MDS110;
211,成渝赛区,hw95609700,'0.4778,hw95609700;
212,上合赛区,wh3333,'0.4782,wh3333;
213,杭厦赛区,hw12158889,'0.4783,hw12158889;
214,成渝赛区,hw53816884,'0.4793,hw53816884;
215,上合赛区,wh4444,'0.4795,wh4444;
216,江山赛区,做好挨打的准备,'0.4796,YuchaoS_;
217,粤港澳赛区,helloki,'0.4798,travisgogogo;hw92854224;
218,杭厦赛区,hw158xxxx1637,'0.4804,hw158xxxx1637;
219,杭厦赛区,hw95609700,'0.4831,hw95609700;
220,杭厦赛区,hw32563906,'0.4835,hw32563906;
221,杭厦赛区,让我蹭波兵线,'0.4842,hw95853955;
222,西北赛区,hw95609700,'0.4851,hw95609700;
223,上合赛区,aacccccc,'0.4856,aacccccc;
224,西北赛区,hw58241489,'0.4861,hw58241489;
225,成渝赛区,hw51403114,'0.4867,hw51403114;
226,江山赛区,hw34480857,'0.4881,hw34480857;
227,粤港澳赛区,hw44472366,'0.4881,hw44472366;
228,西北赛区,hw78220677,'0.489,hw78220677;
229,京津东赛区,疯狂垃圾堆,'0.4891,hw55991984;
230,成渝赛区,hw96234002,'0.4928,hw96234002;
231,杭厦赛区,hw55610072,'0.4988,hw55610072;
232,成渝赛区,hw09461151,'0.5038,hw09461151;
233,上合赛区,命运石之门,'0.5042,wjinyan;
234,武长赛区,hw39250149,'0.5054,hw39250149;
235,西北赛区,这比赛太难了,'0.5064,h15129206513;
236,成渝赛区,Yumisweet,'0.5069,Yumisweet;
237,杭厦赛区,五桶统一,'0.5081,hw01072116;
238,成渝赛区,lnjjjj,'0.509,lnjjjj;
239,西北赛区,WRJYDS999,'0.5094,WRJYDS999;
240,成渝赛区,hw74389733,'0.5102,hw74389733;
241,京津东赛区,hw95609700,'0.5106,hw95609700;
242,杭厦赛区,hw26922083,'0.5107,hw26922083;
243,西北赛区,前面,'0.511,hw01929892;
244,武长赛区,hw32563906,'0.5116,hw32563906;
245,成渝赛区,a15213038716,'0.5125,a15213038716;
246,江山赛区,hw00771387,'0.5127,hw00771387;
247,武长赛区,hanpihaha,'0.5141,hw62624892;hw03080935;
248,西北赛区,大佬,'0.5155,hw67474509;
249,海外赛区,hw51403114,'0.5162,hw51403114;
250,成渝赛区,voyager3,'0.5171,voyager3;
251,杭厦赛区,hw20160113,'0.518,hw20160113;
252,西北赛区,yrr123456,'0.5193,yrr123456;
253,成渝赛区,hw91346810,'0.5199,hw91346810;
254,上合赛区,小号7,'0.5201,jftong;
255,成渝赛区,hw73788528,'0.5211,hw73788528;
256,成渝赛区,hw04037709,'0.5214,hw04037709;
257,成渝赛区,守护最好的鹏鹏,'0.5223,hw51804065;
258,京津东赛区,dyyshj2,'0.5227,dyyshj2;
259,西北赛区,要开学了啊,'0.5246,hw32563906;
260,西北赛区,Forever_m,'0.5258,Forever_m;
261,粤港澳赛区,菜市场,'0.5266,guyinyou;
262,粤港澳赛区,hw73788528,'0.5273,hw73788528;
263,京津东赛区,小问号的小朋友,'0.5295,hw38572842;
264,江山赛区,hw39250149,'0.5298,hw39250149;
265,粤港澳赛区,hw19679566,'0.5321,hw19679566;
266,海外赛区,垃圾,'0.5327,hw92854224;
267,江山赛区,汪汪没想到,'0.5328,hw66991978;hw03309211;
268,上合赛区,hw95609700,'0.533,hw95609700;
269,成渝赛区,Exusiai,'0.5334,Exusiai;
270,西北赛区,等等我,'0.5362,smartata;
271,西北赛区,hw73788528,'0.5362,hw73788528;
272,上合赛区,hbfczp,'0.5368,hbfczp;
273,上合赛区,USTC1011,'0.5381,hw02870004;
274,杭厦赛区,让wo蹭波兵线,'0.5392,hw46699948;
275,杭厦赛区,hw39250149,'0.5399,hw39250149;
276,西北赛区,所以暂时将你眼睛闭了起来,'0.5407,BackToLife;
277,成渝赛区,hw23655024,'0.5408,hw23655024;
278,杭厦赛区,lccurious,'0.5445,lccurious;
279,杭厦赛区,小白兔奶糖,'0.5447,Martin20150405;
280,上合赛区,好想去冰岛看极光啊,'0.5466,keyanjie0817;
281,杭厦赛区,fx-ren,'0.5467,fx-ren;
282,粤港澳赛区,hw09058235,'0.5482,hw09058235;
283,上合赛区,USTC1012,'0.5495,hw26446003;
284,杭厦赛区,hdu0101,'0.551,hdu0101;
285,成渝赛区,hw56470968,'0.5513,hw56470968;
286,上合赛区,wanghaijie,'0.5518,wanghaijie;
287,上合赛区,我想静静,'0.5528,yizhe;
288,武长赛区,hw14571351,'0.5532,hw14571351;
289,武长赛区,fighters,'0.5554,hw00548129;
290,成渝赛区,hw55620042,'0.5568,hw55620042;
291,江山赛区,万物皆虚,'0.5629,Gaoyangtian;
292,上合赛区,hw32563906,'0.5648,hw32563906;
293,成渝赛区,hw74139579,'0.5664,hw74139579;
294,粤港澳赛区,hw88321559,'0.5664,hw88321559;
295,杭厦赛区,hw51403114,'0.5685,hw51403114;
296,海外赛区,a little handsome,'0.5749,Buerzhu;
297,杭厦赛区,HDU精神小伙,'0.5755,hw49566411;
298,西北赛区,hw88888888,'0.581,JARen_xidian;
299,武长赛区,hw90294774,'0.5819,hw90294774;
300,上合赛区,阴天傍晚车窗外,'0.584,hw96074512;
301,武长赛区,hw08463549,'0.5851,hw08463549;
302,武长赛区,daimaohui,'0.5851,daimaohui;
303,西北赛区,Vampire_P,'0.5864,Vampire_P;
304,上合赛区,0% RUNTIME ERROR.,'0.5879,hw23398552;
305,西北赛区,ColorfulWoods,'0.5879,ColorfulWoods;
306,粤港澳赛区,hw14579791,'0.5887,hw14579791;
307,成渝赛区,Verilog天下第一,'0.5896,hw44905910;
308,西北赛区,我就是Qb,'0.5905,hw50351047;
309,上合赛区,hw39250149,'0.5917,hw39250149;
310,武长赛区,十七张牌你能秒我？,'0.5931,hw00764049;
311,杭厦赛区,HDU颓废小伙,'0.5935,hw31413021;
312,上合赛区,hw02678211,'0.594,hw02678211;
313,杭厦赛区,杰出不凡之猪,'0.5961,zshwyj;wyj0601;hw93604195;
314,上合赛区,USTC1010,'0.5963,USTC-Jerry;
315,江山赛区,凡凡别打小宇了，别打了别打了,'0.5965,hw56683763;
316,上合赛区,小号4,'0.5969,shiyongzhe007;
317,京津东赛区,wuwenying,'0.5997,wuwenying;
318,京津东赛区,hw42312998,'0.5997,hw42312998;
319,武长赛区,五五开没有开挂,'0.6002,NoRunGoFat;
320,上合赛区,多拉根包鲁,'0.6003,sanbingyihaolubenwei;
321,杭厦赛区,hw89591875,'0.6008,hw89591875;
322,上合赛区,0% TIME LIMIT EXCEEDE.,'0.6027,KunyuWu;
323,杭厦赛区,gregoryfh,'0.603,gregoryfh;
324,江山赛区,hw32854693,'0.604,hw32854693;
325,西北赛区,ydobi_,'0.6059,ydobi_;
326,江山赛区,hw02849838,'0.6067,hw02849838;
327,江山赛区,hw28633557,'0.6078,hw28633557;
328,杭厦赛区,mmAp,'0.6086,Zzzzz2z;
329,京津东赛区,每天一次太少了,'0.6094,hw32563906;
330,京津东赛区,hw4661,'0.6099,hw55736041;
331,江山赛区,平平无奇的main.cpp,'0.6106,Gyy0406;hw00281018;
332,西北赛区,hw96424674,'0.6117,hw96424674;
333,成渝赛区,守护最好的鲲鲲,'0.614,why___;
334,京津东赛区,传说中的傲气仔,'0.615,hw44770994;
335,京津东赛区,zequnyu,'0.6155,zequnyu;
336,成渝赛区,VergilAlan,'0.6157,VergilAlan;
337,京津东赛区,hw73788528,'0.6175,hw73788528;
338,京津东赛区,hw4662,'0.6177,moumuyun;
339,西北赛区,hw51403114,'0.6185,hw51403114;
340,上合赛区,20% THE RESULT IS INCORRECT.,'0.6194,hw78053806;
341,武长赛区,hw72009261,'0.6201,hw72009261;
342,上合赛区,hw74125675,'0.6231,hw74125675;
343,西北赛区,疯狂混子,'0.6235,hw55991984;
344,武长赛区,mysakure,'0.6238,mysakure;
345,粤港澳赛区,hw51403114,'0.6238,hw51403114;
346,上合赛区,hw99518242,'0.6302,hw99518242;
347,江山赛区,剑指的方向~就是天才的故乡！,'0.6332,hw34746805;
348,上合赛区,hw62161746,'0.6338,hw62161746;
349,西北赛区,hw93232100,'0.6338,hw93232100;
350,杭厦赛区,zjy1996,'0.6341,zjy1996;
351,西北赛区,hw13922377,'0.6346,hw13922377;
352,杭厦赛区,nia1026,'0.6353,nia1026;
353,江山赛区,所有的星星眼~都在等着一颗星！,'0.6366,hw35722498;
354,江山赛区,hw73788528,'0.6368,hw73788528;
355,江山赛区,hw39338604,'0.6375,hw39338604;
356,粤港澳赛区,mysakure,'0.6386,mysakure;
357,江山赛区,JYP1996,'0.64,JYP1996;
358,成渝赛区,hw92174504,'0.6401,hw92174504;
359,杭厦赛区,hw20331507,'0.6403,hw20331507;
360,上合赛区,听说id管成绩,'0.6408,wuzhoupei;
361,西北赛区,吸烟有害健康,'0.6425,hw18007211;
362,江山赛区,额上有疤的男人~个个都是传奇！,'0.6429,b2997215859;
363,粤港澳赛区,kim_tim,'0.645,kim_tim;
364,京津东赛区,hw00657042,'0.6458,hw00657042;
365,江山赛区,pushan,'0.6468,pushan;
366,杭厦赛区,pushan,'0.6473,pushan;
367,西北赛区,hw12834173,'0.6502,hw12834173;
368,江山赛区,haoduodalao,'0.6517,dayu2020;
369,京津东赛区,pushan,'0.652,pushan;
370,西北赛区,3味debugger,'0.652,Dorothy0719;hw40234995;
371,上合赛区,奇迹再现,'0.6521,hw36276357;
372,成渝赛区,hw52268800,'0.6547,hw52268800;
373,江山赛区,mysakure,'0.6553,mysakure;
374,江山赛区,hw42602374,'0.6555,hw42602374;
375,成渝赛区,pushan,'0.6564,pushan;
376,上合赛区,阿牛曾,'0.6565,hw84298366;
377,杭厦赛区,abc_dy,'0.6569,abc_dy;
378,海外赛区,hw00657042,'0.6574,hw00657042;
379,江山赛区,hw13091016,'0.6575,hw13091016;
380,上合赛区,shammy,'0.658,shammy;
381,江山赛区,hw00657042,'0.6584,hw00657042;
382,上合赛区,mysakure,'0.6598,mysakure;
383,江山赛区,hw84711746,'0.6602,hw84711746;
384,上合赛区,pushan,'0.6603,pushan;
385,江山赛区,hw96897549,'0.6604,hw96897549;
386,杭厦赛区,hw23678343,'0.6617,hw23678343;
387,成渝赛区,hw28162455,'0.662,hw28162455;
388,成渝赛区,hw_2012,'0.6628,hw_2012;
389,西北赛区,hold on,'0.6633,hw56254426;
390,杭厦赛区,hw73788528,'0.664,hw73788528;
391,武长赛区,pushan,'0.6645,pushan;
392,江山赛区,hw45901637,'0.6653,hw45901637;
393,粤港澳赛区,黄大佬与严小弟,'0.6671,hw56957646;hw84806958;
394,西北赛区,Vampire_R,'0.6676,Vampire_R;
395,西北赛区,hw94037800,'0.6688,hw94037800;
396,杭厦赛区,hw44205069,'0.6692,hw44205069;
397,武长赛区,233333,'0.6697,nia1026;
398,西北赛区,hw58696994,'0.6699,hw58696994;
399,江山赛区,hw96234002,'0.6718,hw96234002;
400,成渝赛区,hw41347685,'0.6742,hw41347685;
401,武长赛区,hw00657042,'0.6757,hw00657042;
402,京津东赛区,吃葡萄不吐葡萄皮,'0.6763,hw07981607;
403,上合赛区,hw13334565,'0.6781,hw13334565;
404,上合赛区,hw41347685,'0.6789,hw41347685;
405,上合赛区,JiaquanYan,'0.6798,JiaquanYan;
406,江山赛区,C_Bitter,'0.6802,C_Bitter;
407,西北赛区,hw00657042,'0.6814,hw00657042;
408,京津东赛区,JiaquanYan,'0.6815,JiaquanYan;
409,成渝赛区,小号gogogo,'0.6815,hw28604196;
410,京津东赛区,466非线性动力学研究中心,'0.6826,xcx1040865060;
411,西北赛区,hw88225955,'0.6846,hw88225955;
412,成渝赛区,mysakure,'0.6853,mysakure;
413,成渝赛区,hw00657042,'0.6854,hw00657042;
414,杭厦赛区,F**k,'0.6859,hw15539291;
415,成渝赛区,bwsj,'0.6908,hw18577536;
416,京津东赛区,mysakure,'0.6925,mysakure;
417,上合赛区,曾阿牛,'0.6926,geroci;
418,西北赛区,pushan,'0.6949,pushan;
419,京津东赛区,YB_YB,'0.6952,YB_YB_;
420,海外赛区,mysakure,'0.6957,mysakure;
421,上合赛区,hw67008262,'0.6966,hw67008262;
422,西北赛区,云玩家,'0.6978,zachary_yin;hw02210209;
423,杭厦赛区,mysakure,'0.6993,mysakure;
424,西北赛区,玩,'0.6993,JW0506101;
425,西北赛区,RNG,'0.7015,hw42336807;
426,粤港澳赛区,JiaquanYan,'0.7017,JiaquanYan;
427,西北赛区,hw36070047,'0.7038,hw36070047;
428,杭厦赛区,hdu116,'0.7054,hdu116;
429,江山赛区,Csn1889,'0.707,Csn1889;
430,上合赛区,kdelab18,'0.7105,hongxin8;
431,京津东赛区,11111,'0.7136,JackDowson;
432,上合赛区,hw37424348,'0.7203,hw37424348;
433,京津东赛区,RNG02,'0.7251,hw42336807;
434,江山赛区,菜鸟联盟,'0.7258,baozouxiaoyao;
435,上合赛区,hw33587127,'0.7271,hw33587127;
436,江山赛区,hw68154727,'0.7282,hw68154727;
437,上合赛区,Hanmt_,'0.7296,Hanmt_;
438,西北赛区,hw64448957,'0.7307,hw64448957;
439,上合赛区,hw46984847,'0.7308,hw46984847;
440,上合赛区,100% PASSED.,'0.7314,renhuanyu;
441,粤港澳赛区,哈咯,'0.735,hw64602094;
442,西北赛区,铁索连环,'0.7367,gq1997;
443,上合赛区,hw56019049,'0.7398,hw56019049;
444,成渝赛区,醉菜,'0.7409,hw90033937;
445,上合赛区,Yao_725,'0.7422,Yao_725;
446,西北赛区,hw88683285,'0.7485,hw88683285;
447,杭厦赛区,哎哎哎哎,'0.7496,hw51590570;
448,上合赛区,匿名,'0.754,zhangtanglei1994;
449,西北赛区,hw73712600,'0.7542,hw73712600;
450,杭厦赛区,DoubleNoob,'0.7558,illusivemanlyz;Newbie_;hw24430548;
451,武长赛区,hw47392017,'0.7602,hw47392017;
452,成渝赛区,yang_j,'0.7604,yang_j;
453,武长赛区,ZSDD,'0.7625,hnu_zsdd;
454,京津东赛区,hw25157261,'0.7631,hw25157261;
455,上合赛区,黑的北极熊,'0.7636,hw04511325;hw58689432;n0stalg1c;
456,西北赛区,hw69703346,'0.7657,hw69703346;
457,西北赛区,hw76127896,'0.7688,hw76127896;
458,粤港澳赛区,hw47392017,'0.7699,hw47392017;
459,成渝赛区,hw47392017,'0.7704,hw47392017;
460,上合赛区,LIUQQQQQ,'0.7707,LIUQQQQQ;
461,上合赛区,曾-阿牛,'0.7727,hw86342116;
462,成渝赛区,Mxy_lulu,'0.7747,hw45606062;
463,江山赛区,三分香七分爽,'0.7777,hw50765329;
464,上合赛区,小号10,'0.7784,hw09561702;
465,杭厦赛区,蛋黄的长裙唐僧的头发,'0.7787,jinmingyi;hw14749917;
466,上合赛区,no_bug,less_time,'0.7812,Nora_Wu;
467,上合赛区,小号6,'0.7816,hw36690691;
468,上合赛区,良伟红色裤衩粉丝团,'0.7836,hw22316707;
469,上合赛区,我不会C++,'0.7851,q458744230;
470,西北赛区,hw47392017,'0.7853,hw47392017;
471,成渝赛区,bird-610098971,'0.793,bird-610098971;
472,西北赛区,mysakure,'0.7953,mysakure;
