Rank,Name,Score,UserList
1,西北赛区,bc4cf7,'0.1171,ddd2020;Diorvh;Rhodoks;
2,西北赛区,孤芳自赏,'0.153,chier;XDUls;yangzhi__;
3,成渝赛区,前面的慢点,'0.176,hw31743840;
4,成渝赛区,Crescent_Rose(你们怎么这么厉害啊QAQ),'0.184,emengdeath;FoolishMe;kp600168;
5,京津东赛区,BUAA1504Bzyj,'0.1849,BUAA1504Bzyj;
6,京津东赛区,小聂聂最可爱,'0.198,ChenchenBUPT;a627665552;
7,江山赛区,杰尼龟,'0.1988,bitmap;maxPG;xionglan22;
8,江山赛区,先喝奶茶慢慢等,'0.2003,KarlFreecss;
9,京津东赛区,BUAA1504Bzyb,'0.2036,BUAA1504Bzyb;
10,京津东赛区,BUAA1504Bzl(待合并),'0.2091,BUAA1504Bzl;
11,杭厦赛区,摸摸鱼,'0.2102,hw80097264;
12,江山赛区,电饭煲火锅战队,'0.2139,yangwuuu;
13,西北赛区,其他区小号,'0.2186,hw44770994;
14,成渝赛区,等等我啊！,'0.2265,uestcer;
15,上合赛区,和我签订契约，成为魔法少女吧！,'0.2275,mlzeng;
16,西北赛区,macrecry,'0.2321,macrecry;hw29589329;hw74040016;
17,杭厦赛区,鸽鸽鸽,'0.2344,reku1997;hw89504302;
18,上合赛区,暴力出奇迹,'0.2353,sunsiyu;fstqwq;Tommyr7;
19,上合赛区,某科学的自然选择,'0.2473,Ruby_Ocelot;
20,江山赛区,杰尼鸭,'0.2566,ingramwj;
21,杭厦赛区,gtmreku,'0.2578,heyshb;
22,武长赛区,Hewitt__,'0.2592,Hewitt__;
23,西北赛区,hahawang,'0.2601,hw92500782;
24,成渝赛区,我还没上车啊喂,'0.2603,hw00558584;
25,西北赛区,WWC,'0.2614,hw86049023;
26,成渝赛区,demo,'0.2628,hw80097264;
27,西北赛区,hw55875021,'0.2632,hw55875021;
28,成渝赛区,yifanvnir,'0.2642,yifanvnir;
29,粤港澳赛区,chuize,'0.2651,chuize;
30,上合赛区,hw18191312,'0.2658,hw18191312;
31,成渝赛区,xiaojiongxiaoxie,'0.2661,xiaojiongxiaoxie;
32,成渝赛区,zl_Cheng,'0.2668,zl_Cheng;
33,武长赛区,打个酱油~,'0.2733,Hyacinth_;
34,成渝赛区,呼呼哈哈,'0.2743,hw68958279;
35,武长赛区,muzishaobing,'0.2743,muzishaobing;
36,上合赛区,hejiyan,'0.2748,hejiyan;
37,上合赛区,奇迹和魔法，都是存在的！,'0.2754,ldeng1997;betterxys;
38,粤港澳赛区,北二饭堂真好吃,'0.2764,math_is_too_difficult;
39,京津东赛区,XLY,'0.2781,hw36276009;
