Rank,Stage,Name,Score,UserList
100,武长赛区,hw95609700,'0.3044,hw95609700; 
101,江山赛区,P40 pro,'0.3053,sssChenHD; 
102,杭厦赛区,#507,'0.3057,xavier_cai; SleepZzz; darkflamehxy; 
103,武长赛区,小号,'0.3057,hw61107423; 
104,武长赛区,fang,'0.306,hw18390437; 
105,上合赛区,小摩托,'0.3089,hw10994536; 
106,江山赛区,ykdddhhh,'0.3092,ykdddhhh; 
107,成渝赛区,hw95609700,'0.3099,hw95609700; 
108,成渝赛区,zhh还是没有女朋友,'0.31,zhhnogirlfriend; 
109,上合赛区,烧烤摊T1,'0.3105,ronnywang; 
110,江山赛区,得得得得得得得得得得得得,'0.3138,hw79751889; yulin-liu; 
111,上合赛区,只有魔法才能打败魔法,'0.3152,logicsama; hw65668397; 
112,武长赛区,442,'0.3161,hw63594550; 
113,江山赛区,2147483647,'0.3162,hw74910943; ni_gay_lu_da_yo; karstagger; 
114,江山赛区,wcdh1111,'0.3195,wcdh1111; 
115,江山赛区,汪汪没想到,'0.3226,hw66991978; hw03309211; 
116,江山赛区,做好挨打的准备,'0.3239,YuchaoS_; 
117,武长赛区,jackspring,'0.3243,jackspring; 
118,京津东赛区,疯狂垃圾堆,'0.3248,hw55991984; 
119,武长赛区,qqq,'0.3256,caoshang311; 
120,武长赛区,你们好多小号,'0.3257,hw24447531; 
121,江山赛区,凡凡别打小宇了，别打了别打了,'0.326,hw56683763; 
122,成渝赛区,我论文快写完了,'0.3264,VivaLaVida13; 
123,成渝赛区,xujingle1995,'0.3278,xujingle1995; 
124,江山赛区,淡黄长裙,'0.3282,hw22465358; 
125,杭厦赛区,小白兔奶糖,'0.3285,Martin20150405; 
126,粤港澳赛区,hw44770994,'0.3303,hw44770994; 
127,上合赛区,manatsu,'0.3306,manatsu; 
128,成渝赛区,我是小号,'0.3307,Tinysand2; stepbystep_7416_final; hw41855014_xinyu; 
129,杭厦赛区,灭亡迅雷.net,'0.3309,hw48447784; 
130,杭厦赛区,也不是不行,'0.3319,JiayuZhou; hw69872182; MrDavidWang; 
131,江山赛区,其它赛区小号,'0.3319,hw00771387; 
132,西北赛区,hw51403114,'0.3325,hw51403114; 
133,成渝赛区,少年，你明白了吗？,'0.333,stepbystep88; 
134,武长赛区,hw48023222,'0.3331,hw48023222; 
135,海外赛区,xujingle1995,'0.3342,xujingle1995; 
136,西北赛区,hw50854509,'0.3352,hw50854509; 
137,江山赛区,蓬松头发,'0.3354,hw19353640; 
138,杭厦赛区,hw51403114,'0.3359,hw51403114; 
139,成渝赛区,青年，你明白了吗？,'0.3376,Yang_Goodman; 
140,武长赛区,hw51403114,'0.3378,hw51403114; 
141,上合赛区,yl2222,'0.3383,yl2222; 
142,上合赛区,hw61384662,'0.3387,hw61384662; 
143,上合赛区,USTC1011,'0.3389,hw02870004; 
144,武长赛区,xujingle1995,'0.3397,xujingle1995; 
145,西北赛区,xujingle1995,'0.3402,xujingle1995; 
146,上合赛区,垂死病中惊坐起，笑问客从何处来,'0.3406,hw65404743; 
147,杭厦赛区,hw45318011,'0.3406,hw45318011; 
148,杭厦赛区,CZ-5,'0.3408,nbgao; hw30324143; iceice1996; 
149,武长赛区,Bota5ky,'0.341,Bota5ky; 
150,杭厦赛区,xujingle1995,'0.3411,xujingle1995; 
151,上合赛区,七个小矮人,'0.3413,hw44770994; 
152,成渝赛区,hw88134288,'0.3415,hw88134288; 
153,江山赛区,zjyzjsjf,'0.3417,zjyzjsjf; 
154,西北赛区,9999小号,'0.3419,hw24447531; 
155,武长赛区,星辰,'0.3434,hw72363896; 
156,西北赛区,吸烟有害健康,'0.3436,hw18007211; 
157,上合赛区,hw87390075,'0.3439,hw87390075; 
158,成渝赛区,hw82321295,'0.3439,hw82321295; 
159,杭厦赛区,Amazons,'0.3443,mugaoyuan; 
160,上合赛区,白雪公主,'0.3447,zjyzjsjf; 
161,上合赛区,332,'0.3452,hw88811113; 
162,粤港澳赛区,jimocaishuafen,'0.3453,jimocaishuafen; 
163,江山赛区,2144858364972,'0.3466,hw24447531; 
164,西北赛区,hw13922377,'0.3468,hw13922377; 
165,西北赛区,hw57382332,'0.3471,hw57382332; 
166,成渝赛区,voyager3,'0.3472,voyager3; 
167,武长赛区,温柔一刀,'0.3481,dudududududu; 
168,粤港澳赛区,caoshang311,'0.3486,caoshang311; 
169,武长赛区,垃圾小号,'0.3489,hw44770994; 
170,成渝赛区,hw44770994,'0.3503,hw44770994; 
171,海外赛区,RNG03,'0.3503,hw42336807; 
172,杭厦赛区,哑巴湖大水怪,'0.3506,hw44770994; 
173,西北赛区,好运,'0.3506,ikun1997; 
174,武长赛区,难搞,'0.3517,DaLiChuQiJi; 
175,武长赛区,hw24901524,'0.3521,hw24901524; 
176,上合赛区,xujingle1995,'0.3552,xujingle1995; 
177,江山赛区,xujingle1995,'0.3558,xujingle1995; 
178,江山赛区,汪汪嗷嗷叫,'0.3561,hw68154727; 
179,上合赛区,小火车,'0.3568,hw83632418; 
180,粤港澳赛区,hw95609700,'0.3569,hw95609700; 
181,西北赛区,hw33516027,'0.3573,hw33516027; 
182,武长赛区,我是废物,'0.3575,chenyj99; 
183,武长赛区,hw52602753,'0.3577,hw52602753; 
184,上合赛区,小金鱼,'0.3582,hw26167070; 
185,海外赛区,海外赛区都是小号么？,'0.359,hw32563906; 
186,西北赛区,Smart_East,'0.3603,Smart_East; 
187,粤港澳赛区,景,'0.3607,hw65543061; 
188,海外赛区,hw95609700,'0.361,hw95609700; 
189,江山赛区,平平无奇的main.cpp,'0.3617,Gyy0406; hw00281018; 
190,京津东赛区,hw39250149,'0.362,hw39250149; 
191,成渝赛区,hw23655024,'0.362,hw23655024; 
192,粤港澳赛区,你们别这样啊，我也来..,'0.3636,hw24447531; 
193,成渝赛区,Exusiai,'0.3637,Exusiai; 
194,成渝赛区,不出门少聚餐,'0.3639,hwYWYW; 
195,武长赛区,聪聪忙忙,'0.364,hw29198386; 
196,武长赛区,Janchylz,'0.3644,Janchylz; 
197,上合赛区,hw24418358,'0.366,hw24418358; 
198,上合赛区,命运石之门,'0.3663,wjinyan; 
199,杭厦赛区,IDEA,'0.367,wpf990213; w24khandsome; 
200,京津东赛区,ha,'0.3671,jiangzite; ace-pegasus; Herbert_Duan; 
201,上合赛区,LIUQQQQQ,'0.3683,LIUQQQQQ; 
202,成渝赛区,hw85598951,'0.3683,hw85598951; 
203,武长赛区,我可能是第一名的小号,'0.3687,hw21235049; 
204,西北赛区,tools080,'0.3692,tools080; 
205,上合赛区,Hanmt_,'0.3693,Hanmt_; 
206,杭厦赛区,wzc3162,'0.3702,wzc3162; 
207,杭厦赛区,金陵雪暖,'0.3707,babychen; 
208,上合赛区,USTC1012,'0.3709,hw26446003; 
209,西北赛区,大佬,'0.3714,hw67474509; 
210,上合赛区,hbfczp,'0.3736,hbfczp; 
211,西北赛区,hw36070047,'0.3736,hw36070047; 
212,西北赛区,等等我,'0.3748,smartata; 
213,成渝赛区,hw91346810,'0.3761,hw91346810; 
214,成渝赛区,VergilAlan,'0.3763,VergilAlan; 
215,江山赛区,三分香七分爽,'0.3774,hw50765329; 
216,江山赛区,hw28633557,'0.3774,hw28633557; 
217,杭厦赛区,chlearn,'0.3781,chlearn; 
218,杭厦赛区,求小姐姐带我,'0.3782,hw_sdlzx; 
219,成渝赛区,全世界最好的你,'0.38,uestc-gzp; hw80262519; hw18249531; 
220,江山赛区,hw34480857,'0.3839,hw34480857; 
221,杭厦赛区,aaa,'0.385,hw24447531; 
222,京津东赛区,hw24447531,'0.3852,hw24447531; 
223,海外赛区,a little handsome,'0.3878,Buerzhu; 
224,西北赛区,西北赛区太难了,'0.3884,hw85501353; 
225,江山赛区,BestKrystal,'0.3885,BestKrystal; 
226,上合赛区,hzatt0429,'0.3886,hzatt0429; 
227,西北赛区,hw64448957,'0.3893,hw64448957; 
228,江山赛区,我我我我我回来了,'0.3894,cfireworks; 
229,京津东赛区,hw95609700,'0.3909,hw95609700; 
230,上合赛区,asdoaisiu_xiaoh,'0.3943,hw24447531; 
231,成渝赛区,hw09026011,'0.3947,hw09026011; 
232,上合赛区,听说id管成绩,'0.3953,wuzhoupei; 
233,杭厦赛区,fx-ren,'0.3956,fx-ren; 
234,武长赛区,WaminLee,'0.396,WaminLee; 
235,西北赛区,前面,'0.3963,hw01929892; 
236,杭厦赛区,中华总会,'0.3965,hw29747620; 
237,海外赛区,hw51403114,'0.3965,hw51403114; 
238,杭厦赛区,VicVan,'0.3977,VicVan; 
239,杭厦赛区,杰出不凡之猪,'0.3998,zshwyj; wyj0601; hw93604195; 
240,上合赛区,hw70522514,'0.4003,hw70522514; 
241,杭厦赛区,pobin,'0.4003,pobin6; 
242,成渝赛区,bwsj,'0.4017,hw18577536; 
243,杭厦赛区,hw01072116,'0.4029,hw01072116; 
244,杭厦赛区,不知道叫啥,'0.4039,YoungDk; 
245,粤港澳赛区,hw39250149,'0.4039,hw39250149; 
246,成渝赛区,戴口罩勤洗手,'0.4041,hwAirPlane; 
247,成渝赛区,不出门勤消毒,'0.4054,Sw_9661; 
248,江山赛区,hw42260600,'0.4058,hw42260600; 
249,武长赛区,90度茶,'0.4065,huangyj2020; 
250,武长赛区,hw14571351,'0.4154,hw14571351; 
251,京津东赛区,小问号的朋友,'0.4161,nCoCn; 
252,成渝赛区,我是小号1,'0.4164,test_8803_11; 
253,杭厦赛区,hw40598751,'0.4175,hw40598751; 
254,江山赛区,其他赛区小号,'0.4205,hw44770994; 
255,江山赛区,代码你学会自动优化啊,'0.4223,IZhaoXianfengI; 
256,杭厦赛区,hw56426573,'0.4229,hw56426573; 
257,武长赛区,管理员记得把我删掉,'0.4239,hw59633375; 
258,京津东赛区,提交试一下,'0.4245,kangkang365; 
259,杭厦赛区,HangDianWaterest,'0.4252,hw03758433; 
260,西北赛区,hw75507949,'0.4256,hw75507949; 
261,成渝赛区,lxl,'0.4259,hw24447531; 
262,京津东赛区,hw47779841,'0.4288,hw47779841; 
263,京津东赛区,小问号,'0.4293,hw-hellokunpeng; 
264,京津东赛区,hw65136767,'0.4298,hw65136767; 
265,成渝赛区,哑巴湖大水怪,'0.4301,ssz1995; 
266,杭厦赛区,gregoryfh,'0.4304,gregoryfh; 
267,江山赛区,剑指的方向~就是天才的故乡！,'0.432,hw34746805; 
268,杭厦赛区,西红柿炒蛋不加糖,'0.4323,hw33997047; hw74755412; hw20650480; 
269,杭厦赛区,clickMe,'0.4325,clickMe; 
270,成渝赛区,hw45116091,'0.4336,hw45116091; 
271,成渝赛区,hw75627122,'0.4339,hw75627122; 
272,西北赛区,hw44413241,'0.4341,hw44413241; 
273,上合赛区,USTC1010,'0.4349,USTC-Jerry; 
274,西北赛区,hw61286547,'0.435,hw61286547; 
275,成渝赛区,hw46984847,'0.436,hw46984847; 
276,杭厦赛区,hw95221991,'0.4361,hw95221991; 
277,成渝赛区,run,'0.4364,luoxinglin; 
278,西北赛区,hw39250149,'0.4372,hw39250149; 
279,成渝赛区,max gogogo,'0.438,hw01875527; 
280,上合赛区,观望,'0.4384,xiaolegao; 
281,江山赛区,testing,'0.4384,chenglizb; 
282,粤港澳赛区,hw44472366,'0.4403,hw44472366; 
283,上合赛区,爱的战士虚渊玄,'0.4405,hw11212679; 
284,江山赛区,hw47779841,'0.4412,hw47779841; 
285,杭厦赛区,hw73608801,'0.4413,hw73608801; 
286,杭厦赛区,hw13618201,'0.4417,hw13618201; 
287,上合赛区,hw46984847,'0.442,hw46984847; 
288,京津东赛区,hw28162455,'0.4423,hw28162455; 
289,京津东赛区,hw45188251,'0.4426,hw45188251; 
290,江山赛区,pig1060739683,'0.4432,pig1060739683; 
291,武长赛区,hw00657042,'0.4452,hw00657042; 
292,杭厦赛区,hw00657042,'0.4458,hw00657042; 
293,江山赛区,蛹蛹啊,'0.4464,hw45181631; 
294,成渝赛区,小号gogogo,'0.447,hw28604196; 
295,成渝赛区,hw74389733,'0.4481,hw74389733; 
296,上合赛区,shammy,'0.4489,shammy; 
297,成渝赛区,守护最好的鲲鹏,'0.4489,lalalahhhh; 
298,杭厦赛区,让wo蹭波兵线,'0.4495,hw46699948; 
299,成渝赛区,守护最好的鹏鹏,'0.4504,hw51804065; 
300,上合赛区,hw41347685,'0.4505,hw41347685; 
301,京津东赛区,hw41347685,'0.4515,hw41347685; 
302,江山赛区,憨憨敬礼,'0.453,hw23514915; 
303,西北赛区,livers,'0.4532,Vampire_P; 
304,江山赛区,hw41347685,'0.4545,hw41347685; 
305,成渝赛区,hw74139579,'0.4545,hw74139579; 
306,上合赛区,hw47779841,'0.4548,hw47779841; 
307,上合赛区,hw28162455,'0.4559,hw28162455; 
308,江山赛区,hw51403114,'0.4574,hw51403114; 
309,粤港澳赛区,hw27018743,'0.4579,hw27018743; 
310,西北赛区,yang_jx,'0.4591,yang_jx; 
311,西北赛区,3味debugger,'0.4592,Dorothy0719; hw40234995; ColorfulWoods; 
312,江山赛区,hw00657042,'0.4595,hw00657042; 
313,上合赛区,hw62161746,'0.4598,hw62161746; 
314,上合赛区,工中三兄弟,'0.4598,josephxue0727; 
315,成渝赛区,heihuafei,'0.4605,heihuafei; 
316,上合赛区,hw51403114,'0.4606,hw51403114; 
317,上合赛区,hw28604196,'0.4615,hw28604196; 
318,江山赛区,hw45188251,'0.4625,hw45188251; 
319,成渝赛区,hw41347685,'0.4625,hw41347685; 
320,杭厦赛区,Kaizyn,'0.463,Kaizyn; 
321,杭厦赛区,Oliver0047,'0.4634,Oliver0047; 
322,杭厦赛区,小号请忽略,'0.4645,hw78385011; hw85308093; hw47961901; 
323,上合赛区,100% PASSED.,'0.4646,renhuanyu; 
324,粤港澳赛区,hw32563906,'0.4672,hw32563906; 
325,江山赛区,大哥酱油,'0.4677,hw38118295; 
326,成渝赛区,hw25669371,'0.4677,hw25669371; 
327,上合赛区,随便写个名字,'0.4687,hw02918186; 
328,西北赛区,所以暂时将你眼睛闭了起来,'0.4692,BackToLife; 
329,西北赛区,神厨小福贵,'0.4695,thefei; 
330,杭厦赛区,hw68701376,'0.4698,hw68701376; 
331,江山赛区,hw32854693,'0.4699,hw32854693; 
332,杭厦赛区,oepfksd,'0.4705,oepfksd; 
333,杭厦赛区,HDU精神小伙,'0.4707,hw49566411; 
334,杭厦赛区,hw47779841,'0.4709,hw47779841; 
335,上合赛区,xkyeys,'0.4716,xkyeys; 
336,上合赛区,Renatus,'0.4719,Renatus; 
337,上合赛区,hw32563906,'0.4719,hw32563906; 
338,成渝赛区,hw90785588,'0.4724,hw90785588; 
339,京津东赛区,每天一次太少了,'0.4733,hw32563906; 
340,海外赛区,hw00657042,'0.4747,hw00657042; 
341,杭厦赛区,小号,'0.4749,hw55610072; hw50188465; hw95853955; 
342,上合赛区,MDS110,'0.4762,MDS110; 
343,杭厦赛区,hdu116,'0.4763,hdu116; 
344,西北赛区,hw95609700,'0.4771,hw95609700; 
345,上合赛区,wh3333,'0.4782,wh3333; 
346,杭厦赛区,hw12158889,'0.4783,hw12158889; 
347,江山赛区,hw95609700,'0.4792,hw95609700; 
348,成渝赛区,hw53816884,'0.4793,hw53816884; 
349,上合赛区,wh4444,'0.4795,wh4444; 
350,粤港澳赛区,helloki,'0.4798,travisgogogo; hw92854224; 
351,西北赛区,Terry_1iu,'0.4801,Terry_1iu; 
352,杭厦赛区,hw158xxxx1637,'0.4804,hw158xxxx1637; 
353,武长赛区,suiyuanquming,'0.4807,suiyuanquming; 
354,杭厦赛区,hw54417987,'0.4819,hw54417987; 
355,成渝赛区,hw92174504,'0.4819,hw92174504; 
356,杭厦赛区,hw95609700,'0.4831,hw95609700; 
357,成渝赛区,prs_nb,'0.4833,prs_nb; 
358,杭厦赛区,hw32563906,'0.4835,hw32563906; 
359,西北赛区,hw89231531,'0.4836,hw89231531; 
360,成渝赛区,lnjjjj,'0.4846,lnjjjj; 
361,武长赛区,hw32563906,'0.4847,hw32563906; 
