Rank,Name,Score,UserList
1,西北赛区,bc4cf7,'0.1323,ddd2020;Diorvh;Rhodoks;
2,西北赛区,孤芳自赏,'0.165,chier;yangzhi__;XDUls;
3,京津东赛区,小聂聂最可爱,'0.198,ChenchenBUPT;a627665552;
4,上合赛区,溜了溜了,'0.2,hw31421882;
5,江山赛区,吉尼龟,'0.2073,xionglan22;
6,江山赛区,杰尼龟,'0.2107,bitmap;
7,江山赛区,电饭煲火锅战队,'0.2139,yangwuuu;
8,上合赛区,和我签订契约，成为魔法少女吧！,'0.2275,mlzeng;
9,江山赛区,电饭煲火锅太快了,'0.2305,maxPG;
10,成渝赛区,crescent_rose,'0.2404,emengdeath;FoolishMe;kp600168;
11,上合赛区,暴力出奇迹,'0.2474,sunsiyu;fstqwq;Tommyr7;
12,杭厦赛区,gtmreku,'0.2875,heyshb;
13,杭厦赛区,鸽鸽鸽,'0.2888,reku1997;hw89504302;
14,江山赛区,ykdddhhh,'0.3092,ykdddhhh;
15,上合赛区,某科学的自然选择,'0.3197,Ruby_Ocelot;
16,上合赛区,奇迹和魔法，都是存在的！,'0.3261,ldeng1997;betterxys;hejiyan;
17,京津东赛区,WavenZ,'0.3296,WavenZ;
18,江山赛区,周冬雨,'0.3334,yzcyh94tc;
19,上合赛区,hw61384662,'0.3387,hw61384662;
20,上合赛区,332,'0.3452,hw88811113;
21,江山赛区,随缘进复赛,'0.3461,sssChenHD;
22,江山赛区,华为C/C++软件大赛,'0.3462,xingmou;
23,武长赛区,打个酱油~,'0.3948,hw66940315;
24,杭厦赛区,也不是不行,'0.4153,JiayuZhou;hw69872182;
25,江山赛区,程序好慢,'0.4187,KarlFreecss;
26,成渝赛区,少年，你明白了吗？,'0.4196,stepbystep88;
27,京津东赛区,ADDAA96FD6304A9F952A4433A087610D,'0.4234,ADDAA96FD6304A9F952A4433A087610D;
28,江山赛区,淡黄长裙,'0.4249,hw22465358;
29,上合赛区,hw24418358,'0.4261,hw24418358;
30,江山赛区,2147483647,'0.4267,hw74910943;karstagger;ni_gay_lu_da_yo;
31,西北赛区,ADDAA96FD6304A9F952A4433A087610D,'0.4269,ADDAA96FD6304A9F952A4433A087610D;
32,上合赛区,烧烤摊T1,'0.4276,ronnywang;
33,成渝赛区,同志，你明白了吗？,'0.4297,test_8803_11;
34,武长赛区,ADDAA96FD6304A9F952A4433A087610D,'0.4377,ADDAA96FD6304A9F952A4433A087610D;
35,成渝赛区,max gogogo,'0.438,hw01875527;
36,江山赛区,ADDAA96FD6304A9F952A4433A087610D,'0.4406,ADDAA96FD6304A9F952A4433A087610D;
37,杭厦赛区,新的风暴已经出现,'0.4447,hw45352113;ADDAA96FD6304A9F952A4433A087610D;
38,成渝赛区,good good study,'0.4462,stepbystep_7416;
39,杭厦赛区,jaychou,'0.4493,hw40598751;
40,西北赛区,小号1,'0.4606,hw29589329;
41,粤港澳赛区,北二饭堂真好吃,'0.4617,math_is_too_difficult;
42,武长赛区,总是要取名就很难受,'0.4638,Mr_sixven;
43,西北赛区,小duuuuuuu,'0.4659,hw74040016;
44,武长赛区,wdyggg,'0.4678,hw11796938;
45,杭厦赛区,VarZzzz,'0.4688,VarZzzz;
46,上合赛区,Renatus,'0.4719,Renatus;
47,粤港澳赛区,奥特曼大战小怪兽,'0.4783,hw83101316;
48,粤港澳赛区,hw92854224,'0.4798,hw92854224;
49,武长赛区,hw59633375,'0.4825,hw59633375;
50,粤港澳赛区,yesILoveJoyce,'0.4838,yesILoveJoyce;
51,成渝赛区,IOT_TEAM,'0.492,hw31743840;
52,武长赛区,hw06564395,'0.4925,hw06564395;
53,成渝赛区,hw96234002,'0.4928,hw96234002;
54,江山赛区,得得得得得得得得得得得得,'0.496,hw79751889;yulin-liu;yunqihuang;
55,上合赛区,hw18191312,'0.498,hw18191312;
56,杭厦赛区,#507,'0.4994,xavier_cai;darkflamehxy;SleepZzz;
57,成渝赛区,青年，你明白了吗？,'0.5002,Yang_Goodman;
58,上合赛区,守望,'0.5024,IooooooI;
59,成渝赛区,新的风暴已经出现,'0.5115,hw45352113;ADDAA96FD6304A9F952A4433A087610D;hw03080935;
60,武长赛区,hanpihaha,'0.5141,hw62624892;
61,武长赛区,jimocaishuafen,'0.5166,jimocaishuafen;
62,成渝赛区,全世界最好的你,'0.5206,uestc-gzp;hw80262519;hw18249531;
63,京津东赛区,hw67314207,'0.5277,hw67314207;
64,上合赛区,静望,'0.5282,RubyHong;
65,杭厦赛区,CZ-5,'0.5306,nbgao;hw30324143;iceice1996;
66,海外赛区,hw67314207,'0.5306,hw67314207;
67,杭厦赛区,IDEA,'0.532,wpf990213;wzc3162;w24khandsome;
68,粤港澳赛区,空白永不败北,'0.5322,cxq233;
69,海外赛区,hw92854224,'0.5327,hw92854224;
70,上合赛区,小摩托,'0.5334,hw10994536;
71,武长赛区,Hewitt__,'0.5356,Hewitt__;
72,武长赛区,hw03080935,'0.5386,hw03080935;
