Rank,Stage,Name,Score,UserList
84,上合赛区,"烧烤摊T1",`5.321,ronnywang; hw87390075; hw24418358; 
85,武长赛区,"Dry_Martini_Shaken_Not_Stirred",`5.4582,WaminLee; hw72363896; Janchylz; 
86,复活赛区,"hello world",`5.7709,HITZhaozhongtian; hw06506166; 
87,上合赛区,"均龄18岁",`5.8947,wuzhoupei; Hanmt_; LIUQQQQQ; 
88,复活赛区,"善始善终队",`6.23,Renatus; hw99518242; 
89,复活赛区,"palindrome",`6.4027,hw38492405; zeal227; hw94802217; 
90,复活赛区,"前面小号多删一点吧",`7.0413,kunpengNB; hw_coder_liu; ZVPmaster; 
91,江山赛区,"平平无奇的main.cpp",`7.1431,Gyy0406; wcdh1111; XiaoYujie; 
92,京津东赛区,"wasaiboluoxia",`7.5326,wasaiboluoxia; 
93,京津东赛区,"吃葡萄不吐葡萄皮",`7.7518,hw07981607; ningyue1; JackDowson; 
94,复活赛区,"菜鸟联盟",`7.9134,baozouxiaoyao; C_Bitter; hw13091016; 
95,西北赛区,"XDERS",`7.9963,hw95973867; GGGGGGd; hw80967104; 
96,复活赛区,"古娜拉黑暗之神",`8.1288,xytpai; hw08409687; hw19113864; 
97,江山赛区,"得得得得得得得得得得得得",`8.2931,hw79751889; yunqihuang; yulin-liu; 
98,西北赛区,"神厨小福贵",`8.481,thefei; Terry_1iu; hw89231531; 
99,复活赛区,"HDU穷哥们",`9.0011,lilaobass; lqsute; lastxuanshen; 
100,西北赛区,"aaa",`9.0477,hw73712600; wangchunliang; hw50740265; 
101,复活赛区,"菜啊",`9.7146,bihuasky; 
102,复活赛区,"楼上莫赶楼下莫追",`11.5819,LordRiven; S1mple20; Gzy10288; 
103,杭厦赛区,"mmAp",`11.9705,Zzzzz2z; hw89591875; hw06757250; 
104,成渝赛区,"小朋友，你是否有很多小号？",`12.5826,voyager3; Yumisweet; VivaLaVida13; 
105,复活赛区,"滴答滴答",`13.0564,hw62775396; hw85052346; 
106,杭厦赛区,"杰出不凡之猪",`13.7713,zshwyj; wyj0601; hw93604195; 
107,成渝赛区,"精神小伙",`13.9018,hw66051110; 
108,京津东赛区,"回不去的九号线",`14.4641,JNJYan; hw84748906; hw-fighting; 
109,武长赛区,"F**K_COVID19",`14.6832,Scottar; hw52729650; 
110,成渝赛区,"CQUPT_SLW",`17.0498,yling; heihuafei; CQUPT_sql; 
111,杭厦赛区,"绝望的路人甲",`17.9687,zjy1996; abc_dy; Silvia_Amumu; 
112,粤港澳赛区,"上山打老虎",`18.3031,Wenxin_; Marcia_ms; not_rp; 
113,京津东赛区,"wrndd111",`19.0161,wrndd111; 
114,杭厦赛区,"IntelliJ",`21.1813,hw61365541; hw10320955; ckXu_ZJU; 
115,复活赛区,"哈_哈",`21.3429,Vampire_R; hw41310709; 
116,成渝赛区,"苟活到现在",`25.076,lnjjjj; chongya64; hw_2012; 
